entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-20 00:00:00+00:00,2023-04-27 00:00:00+00:00,cdm,LONG,47,530.3,630.0,4685.900000000002,0.8224953,0.9771300000000003,4684.100374700002,0.1879345843861966,97
2023-01-20 00:00:00+00:00,2023-05-22 00:00:00+00:00,cdm,LONG,36,530.3,686.0,5605.200000000002,0.6299964,0.8149680000000001,5603.755035600002,0.29353170299830295,122
2023-01-20 00:00:00+00:00,2023-06-14 00:00:00+00:00,cdm,LONG,27,530.3,740.0,5661.9000000000015,0.4724973,0.65934,5660.768162700001,0.39535749594569125,145
2023-01-20 00:00:00+00:00,2023-08-29 00:00:00+00:00,cdm,LONG,20,530.3,735.0,4094.000000000001,0.349998,0.48510000000000014,4093.164902000001,0.385929181783896,221
2023-01-20 00:00:00+00:00,2023-10-06 00:00:00+00:00,cdm,LONG,46,530.3,736.0,9462.200000000003,0.8049954000000001,1.1172480000000002,9460.277756600002,0.38781484461625504,259
2023-01-20 00:00:00+00:00,2023-12-19 00:00:00+00:00,cdm,LONG,12,530.3,820.0,3476.4000000000005,0.20999879999999993,0.32472000000000006,3475.8652812000005,0.5462105225344146,333
2023-09-06 00:00:00+00:00,2023-12-19 00:00:00+00:00,cdm,LONG,33,720.0,820.0,3300.0,0.7840800000000001,0.8929800000000001,3298.32294,0.13881830555555555,104
2023-09-06 00:00:00+00:00,2024-03-15 00:00:00+00:00,cdm,LONG,34,720.0,869.0,5066.0,0.80784,0.975018,5064.2171419999995,0.20687161527777775,191
2023-09-06 00:00:00+00:00,2024-08-08 00:00:00+00:00,cdm,LONG,44,720.0,930.0,9240.0,1.04544,1.3503600000000002,9237.6042,0.29159104166666666,337
2023-09-06 00:00:00+00:00,2025-06-06 00:00:00+00:00,cdm,LONG,13,720.0,1102.0,4966.0,0.30888000000000004,0.47275800000000007,4965.2183620000005,0.5304720472222223,639
2023-11-14 00:00:00+00:00,2025-06-06 00:00:00+00:00,cdm,LONG,32,755.0,1102.0,11104.0,0.7972800000000002,1.1637120000000003,11102.039008,0.4595214821192053,570
2023-11-14 00:00:00+00:00,2025-08-08 00:00:00+00:00,cdm,LONG,12,755.0,1100.0,4140.0,0.29898,0.4356000000000001,4139.265420000001,0.4568725629139074,633
2024-04-25 00:00:00+00:00,2025-08-08 00:00:00+00:00,cdm,LONG,21,890.0,1100.0,4410.0,0.6167700000000002,0.7623000000000001,4408.62093,0.23588126966292136,470
2024-04-25 00:00:00+00:00,2025-12-15 00:00:00+00:00,cdm,LONG,47,890.0,1056.0,7802.0,1.38039,1.6378560000000002,7798.9817539999995,0.18644469887640447,599
