entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-20 00:00:00+00:00,2023-02-22 00:00:00+00:00,cdm,LONG,47,530.3,679.0,6988.900000000002,0.8224953,1.0531290000000002,6987.024375700003,0.28033206317178966,33
2023-01-20 00:00:00+00:00,2023-05-15 00:00:00+00:00,cdm,LONG,48,530.3,640.0,5265.600000000002,0.8399952,1.0137600000000002,5263.746244800002,0.20679121270978704,115
2023-01-20 00:00:00+00:00,2023-05-18 00:00:00+00:00,cdm,LONG,36,530.3,649.9,4305.6,0.6299964,0.7720811999999999,4304.197922400001,0.22545927475014146,118
2023-01-20 00:00:00+00:00,2023-06-28 00:00:00+00:00,cdm,LONG,27,530.3,747.0,5850.9000000000015,0.4724973,0.6655770000000001,5849.7619257000015,0.40855713577220454,159
2023-01-20 00:00:00+00:00,2023-07-31 00:00:00+00:00,cdm,LONG,20,530.3,744.0,4274.000000000001,0.34999800000000003,0.4910400000000001,4273.158962000001,0.4029001472751274,192
2023-01-20 00:00:00+00:00,2023-10-06 00:00:00+00:00,cdm,LONG,10,530.3,736.0,2057.0000000000005,0.17499900000000002,0.24288000000000007,2056.582121000001,0.3878148446162551,259
2023-03-31 00:00:00+00:00,2023-10-06 00:00:00+00:00,cdm,LONG,37,635.0,736.0,3737.0,0.7753350000000001,0.8986560000000003,3735.3260090000003,0.1589838692913386,189
2023-03-31 00:00:00+00:00,2023-10-23 00:00:00+00:00,cdm,LONG,8,635.0,760.0,1000.0,0.16764000000000012,0.20064,999.63172,0.19677789763779527,206
2023-04-07 00:00:00+00:00,2023-10-23 00:00:00+00:00,cdm,LONG,5,610.0,760.0,750.0,0.10065000000000002,0.12539999999999998,749.77395,0.24582752459016394,199
2023-08-03 00:00:00+00:00,2023-10-23 00:00:00+00:00,cdm,LONG,22,702.0,760.0,1276.0,0.5096520000000001,0.55176,1274.938588,0.08255235612535612,81
2023-08-03 00:00:00+00:00,2023-12-13 00:00:00+00:00,cdm,LONG,47,702.0,750.0,2256.0,1.0888020000000003,1.1632500000000001,2253.7479479999997,0.06830781196581195,132
2023-08-03 00:00:00+00:00,2023-12-18 00:00:00+00:00,cdm,LONG,35,702.0,820.0,4130.0,0.8108100000000001,0.9471000000000003,4128.24209,0.16801962108262108,137
2023-08-03 00:00:00+00:00,2024-01-02 00:00:00+00:00,cdm,LONG,23,702.0,797.0,2185.0,0.5328180000000001,0.6049230000000001,2183.862259,0.13525716951566952,152
2023-11-17 00:00:00+00:00,2024-01-02 00:00:00+00:00,cdm,LONG,4,750.0,797.0,188.0,0.09900000000000002,0.105204,187.79579600000002,0.06259859866666667,46
2023-11-17 00:00:00+00:00,2024-01-22 00:00:00+00:00,cdm,LONG,20,750.0,840.0,1800.0,0.4950000000000001,0.5544000000000001,1798.9506000000001,0.11993004,66
2023-11-17 00:00:00+00:00,2024-01-30 00:00:00+00:00,cdm,LONG,15,750.0,859.0,1635.0,0.3712500000000001,0.42520500000000006,1634.203545,0.14526253733333333,74
2023-11-17 00:00:00+00:00,2024-02-09 00:00:00+00:00,cdm,LONG,11,750.0,875.0,1375.0,0.2722500000000001,0.31762500000000005,1374.410125,0.16659516666666668,84
2023-11-17 00:00:00+00:00,2024-03-15 00:00:00+00:00,cdm,LONG,8,750.0,869.0,952.0,0.19800000000000004,0.22941600000000004,951.572584,0.15859543066666668,119
2023-11-17 00:00:00+00:00,2024-04-29 00:00:00+00:00,cdm,LONG,6,750.0,920.0,1020.0,0.1485,0.18216000000000002,1019.66934,0.22659318666666667,164
